GoogleYaw, -1.03513 GooglePitch, -0.0260691 GoogleRoll, 0.00332681
pack:0 ax, -0.0693512 ay, 0.261185 az, 9.78488
GoogleYaw, -1.03518 GooglePitch, -0.0260678 GoogleRoll, 0.00338916
pack:0 ax, -0.0693512 ay, 0.261185 az, 9.78488
GoogleYaw, -1.03518 GooglePitch, -0.0260678 GoogleRoll, 0.00338916
pack:0 ax, -0.0693512 ay, 0.261185 az, 9.78488
GoogleYaw, -1.03518 GooglePitch, -0.0260678 GoogleRoll, 0.00338916
pack:0 ax, 0.0115814 ay, 0.237381 az, 9.68491
GoogleYaw, -1.03518 GooglePitch, -0.0260678 GoogleRoll, 0.00338916
pack:0 ax, 0.0115814 ay, 0.237381 az, 9.68491
GoogleYaw, -1.03532 GooglePitch, -0.0261001 GoogleRoll, 0.0034799
pack:0 ax, -0.0265045 ay, 0.280228 az, 9.8063
GoogleYaw, -1.03508 GooglePitch, -0.0260591 GoogleRoll, 0.00329283
pack:0 ax, -0.016983 ay, 0.261185 az, 9.69919
GoogleYaw, -1.03508 GooglePitch, -0.0260591 GoogleRoll, 0.00329283
pack:0 ax, -0.016983 ay, 0.261185 az, 9.69919
GoogleYaw, -1.03508 GooglePitch, -0.0260591 GoogleRoll, 0.00329283
pack:0 ax, -0.016983 ay, 0.261185 az, 9.69919
GoogleYaw, -1.03518 GooglePitch, -0.0261446 GoogleRoll, 0.00325081
pack:0 ax, -0.016983 ay, 0.261185 az, 9.69919
GoogleYaw, -1.03518 GooglePitch, -0.0261446 GoogleRoll, 0.00325081
pack:0 ax, -0.0503082 ay, 0.239761 az, 9.72537
GoogleYaw, -1.03518 GooglePitch, -0.0261446 GoogleRoll, 0.00325081
pack:0 ax, -0.0503082 ay, 0.239761 az, 9.72537
GoogleYaw, -1.03516 GooglePitch, -0.0261718 GoogleRoll, 0.00318887
pack:0 ax, -0.0407867 ay, 0.254044 az, 9.79202
GoogleYaw, -1.03512 GooglePitch, -0.0261124 GoogleRoll, 0.0032425
pack:0 ax, -0.0407867 ay, 0.254044 az, 9.79202
GoogleYaw, -1.03512 GooglePitch, -0.0261124 GoogleRoll, 0.0032425
pack:0 ax, -0.036026 ay, 0.251663 az, 9.76346
GoogleYaw, -1.03514 GooglePitch, -0.026108 GoogleRoll, 0.00327166
pack:0 ax, -0.036026 ay, 0.251663 az, 9.76346
GoogleYaw, -1.03514 GooglePitch, -0.026108 GoogleRoll, 0.00327166
pack:0 ax, -0.0788727 ay, 0.244522 az, 9.79202
GoogleYaw, -1.03513 GooglePitch, -0.026088 GoogleRoll, 0.00329417
pack:0 ax, -0.0146027 ay, 0.235001 az, 9.79916
GoogleYaw, -1.03513 GooglePitch, -0.026088 GoogleRoll, 0.00329417
pack:0 ax, -0.0146027 ay, 0.235001 az, 9.79916
GoogleYaw, -1.03513 GooglePitch, -0.026088 GoogleRoll, 0.00329417
pack:0 ax, -0.0146027 ay, 0.235001 az, 9.79916
GoogleYaw, -1.03515 GooglePitch, -0.0260109 GoogleRoll, 0.00345131
pack:0 ax, -0.0146027 ay, 0.235001 az, 9.79916
GoogleYaw, -1.03515 GooglePitch, -0.0260109 GoogleRoll, 0.00345131
pack:0 ax, -0.0265045 ay, 0.220718 az, 9.68491
GoogleYaw, -1.03515 GooglePitch, -0.0260109 GoogleRoll, 0.00345131
pack:0 ax, -0.0265045 ay, 0.220718 az, 9.68491
GoogleYaw, -1.03515 GooglePitch, -0.0260109 GoogleRoll, 0.00345131
pack:0 ax, -0.0265045 ay, 0.220718 az, 9.68491
GoogleYaw, -1.03515 GooglePitch, -0.0260109 GoogleRoll, 0.00345131
pack:0 ax, -0.0265045 ay, 0.220718 az, 9.68491
GoogleYaw, -1.03492 GooglePitch, -0.0259237 GoogleRoll, 0.00336376
pack:0 ax, -0.0217438 ay, 0.244522 az, 9.85867
GoogleYaw, -1.03492 GooglePitch, -0.0259237 GoogleRoll, 0.00336376
pack:0 ax, -0.0217438 ay, 0.244522 az, 9.85867
GoogleYaw, -1.03472 GooglePitch, -0.0258214 GoogleRoll, 0.00332102
pack:0 ax, -0.0217438 ay, 0.244522 az, 9.85867
GoogleYaw, -1.03472 GooglePitch, -0.0258214 GoogleRoll, 0.00332102
pack:0 ax, -0.0217438 ay, 0.244522 az, 9.85867
GoogleYaw, -1.03472 GooglePitch, -0.0258214 GoogleRoll, 0.00332102
pack:0 ax, -0.0455475 ay, 0.23024 az, 9.72775
GoogleYaw, -1.03472 GooglePitch, -0.0258214 GoogleRoll, 0.00332102
pack:0 ax, -0.0455475 ay, 0.23024 az, 9.72775
GoogleYaw, -1.03464 GooglePitch, -0.0257988 GoogleRoll, 0.00328153
pack:0 ax, -0.0384064 ay, 0.268326 az, 9.70395
GoogleYaw, -1.03459 GooglePitch, -0.0257397 GoogleRoll, 0.00332608
pack:0 ax, -0.0479279 ay, 0.251663 az, 9.77298
GoogleYaw, -1.03459 GooglePitch, -0.0257397 GoogleRoll, 0.00332608
pack:0 ax, -0.0479279 ay, 0.251663 az, 9.77298
GoogleYaw, -1.03459 GooglePitch, -0.0257397 GoogleRoll, 0.00332608
pack:0 ax, -0.0479279 ay, 0.251663 az, 9.77298
GoogleYaw, -1.03469 GooglePitch, -0.0257939 GoogleRoll, 0.00333469
pack:0 ax, -0.0479279 ay, 0.251663 az, 9.77298
GoogleYaw, -1.03469 GooglePitch, -0.0257939 GoogleRoll, 0.00333469
pack:0 ax, -0.0431671 ay, 0.244522 az, 9.7825
GoogleYaw, -1.03469 GooglePitch, -0.0257939 GoogleRoll, 0.00333469
pack:0 ax, -0.0431671 ay, 0.244522 az, 9.7825
GoogleYaw, -1.03469 GooglePitch, -0.0257939 GoogleRoll, 0.00333469
pack:0 ax, -0.0431671 ay, 0.244522 az, 9.7825
GoogleYaw, -1.03469 GooglePitch, -0.0257939 GoogleRoll, 0.00333469
pack:0 ax, -0.0431671 ay, 0.244522 az, 9.7825
GoogleYaw, -1.03472 GooglePitch, -0.0257937 GoogleRoll, 0.00337508
pack:0 ax, -0.0503082 ay, 0.258804 az, 9.78964
GoogleYaw, -1.03472 GooglePitch, -0.0257937 GoogleRoll, 0.00337508
pack:0 ax, -0.0503082 ay, 0.258804 az, 9.78964
GoogleYaw, -1.03471 GooglePitch, -0.0257684 GoogleRoll, 0.00340777
pack:0 ax, -0.0503082 ay, 0.258804 az, 9.78964
GoogleYaw, -1.03471 GooglePitch, -0.0257684 GoogleRoll, 0.00340777
pack:0 ax, -0.0503082 ay, 0.258804 az, 9.78964
GoogleYaw, -1.03471 GooglePitch, -0.0257684 GoogleRoll, 0.00340777
pack:0 ax, -0.0907745 ay, 0.249283 az, 9.7825
GoogleYaw, -1.03476 GooglePitch, -0.0257714 GoogleRoll, 0.00345334
pack:0 ax, -0.0574493 ay, 0.254044 az, 9.69681
GoogleYaw, -1.03476 GooglePitch, -0.0257714 GoogleRoll, 0.00345334
pack:0 ax, -0.0574493 ay, 0.254044 az, 9.69681
GoogleYaw, -1.03489 GooglePitch, -0.0257526 GoogleRoll, 0.00362564
pack:0 ax, -0.0479279 ay, 0.273087 az, 9.85391
GoogleYaw, -1.03489 GooglePitch, -0.0257526 GoogleRoll, 0.00362564
pack:0 ax, -0.0479279 ay, 0.273087 az, 9.85391
GoogleYaw, -1.03489 GooglePitch, -0.0257526 GoogleRoll, 0.00362564
pack:0 ax, -0.0479279 ay, 0.273087 az, 9.85391
GoogleYaw, -1.03495 GooglePitch, -0.0257585 GoogleRoll, 0.00367972
pack:0 ax, -0.0479279 ay, 0.273087 az, 9.85391
GoogleYaw, -1.03495 GooglePitch, -0.0257585 GoogleRoll, 0.00367972
pack:0 ax, -0.00508118 ay, 0.254044 az, 9.70871
GoogleYaw, -1.03495 GooglePitch, -0.0257585 GoogleRoll, 0.00367972
pack:0 ax, -0.00508118 ay, 0.254044 az, 9.70871
GoogleYaw, -1.03495 GooglePitch, -0.0257585 GoogleRoll, 0.00367972
pack:0 ax, -0.00508118 ay, 0.254044 az, 9.70871
GoogleYaw, -1.03495 GooglePitch, -0.0257585 GoogleRoll, 0.00367972
pack:0 ax, -0.00508118 ay, 0.254044 az, 9.70871
GoogleYaw, -1.03506 GooglePitch, -0.025815 GoogleRoll, 0.00369703
pack:0 ax, -0.0503082 ay, 0.280228 az, 9.7468
GoogleYaw, -1.03506 GooglePitch, -0.025815 GoogleRoll, 0.00369703
pack:0 ax, -0.0503082 ay, 0.280228 az, 9.7468
GoogleYaw, -1.03494 GooglePitch, -0.0258075 GoogleRoll, 0.00358028
pack:0 ax, -0.0503082 ay, 0.280228 az, 9.7468
GoogleYaw, -1.03494 GooglePitch, -0.0258075 GoogleRoll, 0.00358028
pack:0 ax, -0.0503082 ay, 0.280228 az, 9.7468
GoogleYaw, -1.03494 GooglePitch, -0.0258075 GoogleRoll, 0.00358028
pack:0 ax, -0.0431671 ay, 0.237381 az, 9.77536
GoogleYaw, -1.03494 GooglePitch, -0.0258075 GoogleRoll, 0.00358028
pack:0 ax, -0.0431671 ay, 0.237381 az, 9.77536
GoogleYaw, -1.03511 GooglePitch, -0.025886 GoogleRoll, 0.00363145
pack:0 ax, -0.0336456 ay, 0.261185 az, 9.73489
GoogleYaw, -1.03505 GooglePitch, -0.0258339 GoogleRoll, 0.00365592
pack:0 ax, -0.0265045 ay, 0.227859 az, 9.80154
GoogleYaw, -1.03505 GooglePitch, -0.0258339 GoogleRoll, 0.00365592
pack:0 ax, -0.0265045 ay, 0.227859 az, 9.80154
GoogleYaw, -1.03505 GooglePitch, -0.0258339 GoogleRoll, 0.00365592
pack:0 ax, -0.0265045 ay, 0.227859 az, 9.80154
GoogleYaw, -1.03506 GooglePitch, -0.0258478 GoogleRoll, 0.00363712
pack:0 ax, -0.0265045 ay, 0.227859 az, 9.80154
GoogleYaw, -1.03506 GooglePitch, -0.0258478 GoogleRoll, 0.00363712
pack:0 ax, -0.00746155 ay, 0.261185 az, 9.75156
