pack:0 ax, -0.00746155 ay, 0.254044 az, 9.7587
GoogleYaw, -0.877698 GooglePitch, -0.0269899 GoogleRoll, 0.00292679
pack:0 ax, 0.00444031 ay, 0.251663 az, 9.78012
GoogleYaw, -0.877698 GooglePitch, -0.0269899 GoogleRoll, 0.00292679
pack:0 ax, 0.00444031 ay, 0.251663 az, 9.78012
GoogleYaw, -0.877698 GooglePitch, -0.0269899 GoogleRoll, 0.00292679
pack:0 ax, 0.00444031 ay, 0.251663 az, 9.78012
GoogleYaw, -0.877552 GooglePitch, -0.0269563 GoogleRoll, 0.00283286
pack:0 ax, 0.00444031 ay, 0.251663 az, 9.78012
GoogleYaw, -0.877552 GooglePitch, -0.0269563 GoogleRoll, 0.00283286
pack:0 ax, -0.0455475 ay, 0.265945 az, 9.71823
GoogleYaw, -0.877552 GooglePitch, -0.0269563 GoogleRoll, 0.00283286
pack:0 ax, -0.0455475 ay, 0.265945 az, 9.71823
GoogleYaw, -0.877389 GooglePitch, -0.026924 GoogleRoll, 0.00272193
pack:0 ax, -0.036026 ay, 0.256424 az, 9.75394
GoogleYaw, -0.877486 GooglePitch, -0.026937 GoogleRoll, 0.00279567
pack:0 ax, -0.0479279 ay, 0.270706 az, 9.78964
GoogleYaw, -0.877486 GooglePitch, -0.026937 GoogleRoll, 0.00279567
pack:0 ax, -0.0479279 ay, 0.270706 az, 9.78964
GoogleYaw, -0.877486 GooglePitch, -0.026937 GoogleRoll, 0.00279567
pack:0 ax, -0.0479279 ay, 0.270706 az, 9.78964
GoogleYaw, -0.877486 GooglePitch, -0.026937 GoogleRoll, 0.00279567
pack:0 ax, -0.0479279 ay, 0.270706 az, 9.78964
GoogleYaw, -0.877472 GooglePitch, -0.0269035 GoogleRoll, 0.00282385
pack:0 ax, -0.0217438 ay, 0.246902 az, 9.75632
GoogleYaw, -0.877472 GooglePitch, -0.0269035 GoogleRoll, 0.00282385
pack:0 ax, -0.0217438 ay, 0.246902 az, 9.75632
GoogleYaw, -0.877472 GooglePitch, -0.0269035 GoogleRoll, 0.00282385
pack:0 ax, -0.0217438 ay, 0.246902 az, 9.75632
GoogleYaw, -0.877472 GooglePitch, -0.0269035 GoogleRoll, 0.00282385
pack:0 ax, -0.0217438 ay, 0.246902 az, 9.75632
GoogleYaw, -0.877554 GooglePitch, -0.0269268 GoogleRoll, 0.00287136
pack:0 ax, -0.055069 ay, 0.242142 az, 9.77536
GoogleYaw, -0.877554 GooglePitch, -0.0269268 GoogleRoll, 0.00287136
pack:0 ax, -0.055069 ay, 0.242142 az, 9.77536
GoogleYaw, -0.877554 GooglePitch, -0.0269268 GoogleRoll, 0.00287136
pack:0 ax, -0.055069 ay, 0.242142 az, 9.77536
GoogleYaw, -0.877447 GooglePitch, -0.0268815 GoogleRoll, 0.00282829
pack:0 ax, -0.055069 ay, 0.242142 az, 9.77536
GoogleYaw, -0.877447 GooglePitch, -0.0268815 GoogleRoll, 0.00282829
pack:0 ax, -0.0336456 ay, 0.249283 az, 9.7587
GoogleYaw, -0.877447 GooglePitch, -0.0268815 GoogleRoll, 0.00282829
pack:0 ax, -0.0336456 ay, 0.249283 az, 9.7587
GoogleYaw, -0.877465 GooglePitch, -0.0268196 GoogleRoll, 0.00292102
pack:0 ax, -0.0241241 ay, 0.268326 az, 9.6611
GoogleYaw, -0.877462 GooglePitch, -0.0267959 GoogleRoll, 0.00294765
pack:0 ax, -0.036026 ay, 0.246902 az, 9.72299
GoogleYaw, -0.877462 GooglePitch, -0.0267959 GoogleRoll, 0.00294765
pack:0 ax, -0.036026 ay, 0.246902 az, 9.72299
GoogleYaw, -0.877462 GooglePitch, -0.0267959 GoogleRoll, 0.00294765
pack:0 ax, -0.036026 ay, 0.246902 az, 9.72299
GoogleYaw, -0.877462 GooglePitch, -0.0267959 GoogleRoll, 0.00294765
pack:0 ax, -0.036026 ay, 0.246902 az, 9.72299
GoogleYaw, -0.87751 GooglePitch, -0.0268367 GoogleRoll, 0.00294156
pack:0 ax, -0.0622101 ay, 0.268326 az, 9.75632
GoogleYaw, -0.87751 GooglePitch, -0.0268367 GoogleRoll, 0.00294156
pack:0 ax, -0.0622101 ay, 0.268326 az, 9.75632
GoogleYaw, -0.87751 GooglePitch, -0.0268367 GoogleRoll, 0.00294156
pack:0 ax, -0.0622101 ay, 0.268326 az, 9.75632
GoogleYaw, -0.87751 GooglePitch, -0.0268367 GoogleRoll, 0.00294156
pack:0 ax, -0.0622101 ay, 0.268326 az, 9.75632
GoogleYaw, -0.877456 GooglePitch, -0.0267768 GoogleRoll, 0.00296519
pack:0 ax, -0.0407867 ay, 0.263565 az, 9.81107
GoogleYaw, -0.877456 GooglePitch, -0.0267768 GoogleRoll, 0.00296519
pack:0 ax, -0.0407867 ay, 0.263565 az, 9.81107
GoogleYaw, -0.877456 GooglePitch, -0.0267768 GoogleRoll, 0.00296519
pack:0 ax, -0.0407867 ay, 0.263565 az, 9.81107
GoogleYaw, -0.877568 GooglePitch, -0.0267787 GoogleRoll, 0.00306713
pack:0 ax, -0.0407867 ay, 0.263565 az, 9.81107
GoogleYaw, -0.877568 GooglePitch, -0.0267787 GoogleRoll, 0.00306713
pack:0 ax, -0.00270081 ay, 0.273087 az, 9.7944
GoogleYaw, -0.877568 GooglePitch, -0.0267787 GoogleRoll, 0.00306713
pack:0 ax, -0.00270081 ay, 0.273087 az, 9.7944
GoogleYaw, -0.877594 GooglePitch, -0.0267696 GoogleRoll, 0.0031022
pack:0 ax, 0.0163422 ay, 0.251663 az, 9.75632
GoogleYaw, -0.877537 GooglePitch, -0.0268051 GoogleRoll, 0.00300596
pack:0 ax, -0.016983 ay, 0.263565 az, 9.73489
GoogleYaw, -0.877537 GooglePitch, -0.0268051 GoogleRoll, 0.00300596
pack:0 ax, -0.016983 ay, 0.263565 az, 9.73489
GoogleYaw, -0.877537 GooglePitch, -0.0268051 GoogleRoll, 0.00300596
pack:0 ax, -0.016983 ay, 0.263565 az, 9.73489
GoogleYaw, -0.877537 GooglePitch, -0.0268051 GoogleRoll, 0.00300596
pack:0 ax, -0.016983 ay, 0.263565 az, 9.73489
