pack:0 ax, -0.0907745 ay, 0.282608 az, 9.67538
GoogleYaw, 0.328967 GooglePitch, -0.0277842 GoogleRoll, 0.00961371
pack:0 ax, -0.1241 ay, 0.284988 az, 9.7587
GoogleYaw, 0.328985 GooglePitch, -0.027826 GoogleRoll, 0.00961797
pack:0 ax, -0.107437 ay, 0.270706 az, 9.73489
GoogleYaw, 0.328985 GooglePitch, -0.027826 GoogleRoll, 0.00961797
pack:0 ax, -0.107437 ay, 0.270706 az, 9.73489
GoogleYaw, 0.328838 GooglePitch, -0.027855 GoogleRoll, 0.00971315
pack:0 ax, -0.107437 ay, 0.254044 az, 9.81107
GoogleYaw, 0.328838 GooglePitch, -0.027855 GoogleRoll, 0.00971315
pack:0 ax, -0.107437 ay, 0.254044 az, 9.81107
GoogleYaw, 0.328838 GooglePitch, -0.027855 GoogleRoll, 0.00971315
pack:0 ax, -0.107437 ay, 0.254044 az, 9.81107
GoogleYaw, 0.328838 GooglePitch, -0.027855 GoogleRoll, 0.00971315
pack:0 ax, -0.107437 ay, 0.254044 az, 9.81107
GoogleYaw, 0.328754 GooglePitch, -0.0278481 GoogleRoll, 0.0097599
pack:0 ax, -0.105057 ay, 0.277847 az, 9.68491
GoogleYaw, 0.328754 GooglePitch, -0.0278481 GoogleRoll, 0.0097599
pack:0 ax, -0.105057 ay, 0.277847 az, 9.68491
GoogleYaw, 0.328754 GooglePitch, -0.0278481 GoogleRoll, 0.0097599
pack:0 ax, -0.105057 ay, 0.277847 az, 9.68491
GoogleYaw, 0.328618 GooglePitch, -0.0277766 GoogleRoll, 0.00981402
pack:0 ax, -0.105057 ay, 0.277847 az, 9.68491
GoogleYaw, 0.328618 GooglePitch, -0.0277766 GoogleRoll, 0.00981402
pack:0 ax, -0.133621 ay, 0.270706 az, 9.73251
GoogleYaw, 0.328618 GooglePitch, -0.0277766 GoogleRoll, 0.00981402
pack:0 ax, -0.133621 ay, 0.270706 az, 9.73251
GoogleYaw, 0.328618 GooglePitch, -0.0277766 GoogleRoll, 0.00981402
pack:0 ax, -0.133621 ay, 0.270706 az, 9.73251
GoogleYaw, 0.328618 GooglePitch, -0.0277766 GoogleRoll, 0.00981402
pack:0 ax, -0.133621 ay, 0.270706 az, 9.73251
GoogleYaw, 0.32857 GooglePitch, -0.0278015 GoogleRoll, 0.00985067
pack:0 ax, -0.0741119 ay, 0.301651 az, 9.77298
GoogleYaw, 0.328358 GooglePitch, -0.0277958 GoogleRoll, 0.00997169
pack:0 ax, -0.100296 ay, 0.284988 az, 9.73251
GoogleYaw, 0.328358 GooglePitch, -0.0277958 GoogleRoll, 0.00997169
pack:0 ax, -0.100296 ay, 0.284988 az, 9.73251
GoogleYaw, 0.328607 GooglePitch, -0.0279029 GoogleRoll, 0.00986393
pack:0 ax, -0.0836334 ay, 0.282608 az, 9.66586
GoogleYaw, 0.328607 GooglePitch, -0.0279029 GoogleRoll, 0.00986393
pack:0 ax, -0.0836334 ay, 0.282608 az, 9.66586
GoogleYaw, 0.328607 GooglePitch, -0.0279029 GoogleRoll, 0.00986393
pack:0 ax, -0.0836334 ay, 0.282608 az, 9.66586
GoogleYaw, 0.328607 GooglePitch, -0.0279029 GoogleRoll, 0.00986393
pack:0 ax, -0.0836334 ay, 0.282608 az, 9.66586
GoogleYaw, 0.328651 GooglePitch, -0.0279717 GoogleRoll, 0.00986228
pack:0 ax, -0.133621 ay, 0.301651 az, 9.73727
GoogleYaw, 0.328651 GooglePitch, -0.0279717 GoogleRoll, 0.00986228
pack:0 ax, -0.133621 ay, 0.301651 az, 9.73727
GoogleYaw, 0.328651 GooglePitch, -0.0279717 GoogleRoll, 0.00986228
pack:0 ax, -0.133621 ay, 0.301651 az, 9.73727
GoogleYaw, 0.328718 GooglePitch, -0.0280414 GoogleRoll, 0.00984751
pack:0 ax, -0.133621 ay, 0.301651 az, 9.73727
