pack:0 ax, -16.5201 ay, 6.70961 az, -4.04984
GoogleYaw, -0.52088 GooglePitch, -0.420905 GoogleRoll, 1.68577
pack:0 ax, -16.5201 ay, 6.70961 az, -4.04984
GoogleYaw, -0.52088 GooglePitch, -0.420905 GoogleRoll, 1.68577
pack:0 ax, -16.6677 ay, 7.0262 az, -2.45023
GoogleYaw, -0.52088 GooglePitch, -0.420905 GoogleRoll, 1.68577
pack:0 ax, -16.6677 ay, 7.0262 az, -2.45023
GoogleYaw, -0.52088 GooglePitch, -0.420905 GoogleRoll, 1.68577
pack:0 ax, -16.6677 ay, 7.0262 az, -2.45023
GoogleYaw, -0.527575 GooglePitch, -0.465034 GoogleRoll, 1.68466
pack:0 ax, -16.6677 ay, 7.0262 az, -2.45023
GoogleYaw, -0.527575 GooglePitch, -0.465034 GoogleRoll, 1.68466
pack:0 ax, -17.3675 ay, 7.02144 az, -1.79324
GoogleYaw, -0.527575 GooglePitch, -0.465034 GoogleRoll, 1.68466
pack:0 ax, -17.3675 ay, 7.02144 az, -1.79324
GoogleYaw, -0.527575 GooglePitch, -0.465034 GoogleRoll, 1.68466
pack:0 ax, -17.3675 ay, 7.02144 az, -1.79324
GoogleYaw, -0.527575 GooglePitch, -0.465034 GoogleRoll, 1.68466
pack:0 ax, -17.3675 ay, 7.02144 az, -1.79324
GoogleYaw, -0.539552 GooglePitch, -0.520235 GoogleRoll, 1.6759
pack:0 ax, -15.2537 ay, 6.84291 az, -3.86417
GoogleYaw, -0.539552 GooglePitch, -0.520235 GoogleRoll, 1.6759
pack:0 ax, -15.2537 ay, 6.84291 az, -3.86417
GoogleYaw, -0.539552 GooglePitch, -0.520235 GoogleRoll, 1.6759
pack:0 ax, -15.2537 ay, 6.84291 az, -3.86417
GoogleYaw, -0.549915 GooglePitch, -0.5796 GoogleRoll, 1.65568
pack:0 ax, -15.2537 ay, 6.84291 az, -3.86417
GoogleYaw, -0.549915 GooglePitch, -0.5796 GoogleRoll, 1.65568
pack:0 ax, -13.6232 ay, 6.75246 az, -2.40738
GoogleYaw, -0.549915 GooglePitch, -0.5796 GoogleRoll, 1.65568
pack:0 ax, -13.6232 ay, 6.75246 az, -2.40738
GoogleYaw, -0.549915 GooglePitch, -0.5796 GoogleRoll, 1.65568
pack:0 ax, -13.6232 ay, 6.75246 az, -2.40738
GoogleYaw, -0.549915 GooglePitch, -0.5796 GoogleRoll, 1.65568
pack:0 ax, -13.6232 ay, 6.75246 az, -2.40738
GoogleYaw, -0.567732 GooglePitch, -0.654376 GoogleRoll, 1.62084
pack:0 ax, -12.5354 ay, 6.86195 az, -0.48642
GoogleYaw, -0.567732 GooglePitch, -0.654376 GoogleRoll, 1.62084
pack:0 ax, -12.5354 ay, 6.86195 az, -0.48642
GoogleYaw, -0.567732 GooglePitch, -0.654376 GoogleRoll, 1.62084
pack:0 ax, -12.5354 ay, 6.86195 az, -0.48642
GoogleYaw, -0.567732 GooglePitch, -0.654376 GoogleRoll, 1.62084
pack:0 ax, -12.5354 ay, 6.86195 az, -0.48642
GoogleYaw, -0.594535 GooglePitch, -0.732839 GoogleRoll, 1.57803
pack:0 ax, -12.0807 ay, 7.00478 az, 0.244354
GoogleYaw, -0.594535 GooglePitch, -0.732839 GoogleRoll, 1.57803
pack:0 ax, -12.0807 ay, 7.00478 az, 0.244354
GoogleYaw, -0.594535 GooglePitch, -0.732839 GoogleRoll, 1.57803
pack:0 ax, -12.0807 ay, 7.00478 az, 0.244354
GoogleYaw, -0.594535 GooglePitch, -0.732839 GoogleRoll, 1.57803
pack:0 ax, -12.0807 ay, 7.00478 az, 0.244354
GoogleYaw, -0.625813 GooglePitch, -0.810503 GoogleRoll, 1.53256
pack:0 ax, -13.7113 ay, 6.46205 az, 0.594269
GoogleYaw, -0.625813 GooglePitch, -0.810503 GoogleRoll, 1.53256
pack:0 ax, -13.7113 ay, 6.46205 az, 0.594269
GoogleYaw, -0.625813 GooglePitch, -0.810503 GoogleRoll, 1.53256
pack:0 ax, -13.7113 ay, 6.46205 az, 0.594269
GoogleYaw, -0.625813 GooglePitch, -0.810503 GoogleRoll, 1.53256
pack:0 ax, -13.7113 ay, 6.46205 az, 0.594269
GoogleYaw, -0.657407 GooglePitch, -0.890158 GoogleRoll, 1.48309
pack:0 ax, -11.4047 ay, 6.16689 az, 1.09653
GoogleYaw, -0.657407 GooglePitch, -0.890158 GoogleRoll, 1.48309
pack:0 ax, -11.4047 ay, 6.16689 az, 1.09653
GoogleYaw, -0.657407 GooglePitch, -0.890158 GoogleRoll, 1.48309
pack:0 ax, -11.4047 ay, 6.16689 az, 1.09653
GoogleYaw, -0.657407 GooglePitch, -0.890158 GoogleRoll, 1.48309
pack:0 ax, -11.4047 ay, 6.16689 az, 1.09653
GoogleYaw, -0.689067 GooglePitch, -0.975524 GoogleRoll, 1.42914
pack:0 ax, -9.73842 ay, 5.53371 az, 0.948944
GoogleYaw, -0.689067 GooglePitch, -0.975524 GoogleRoll, 1.42914
pack:0 ax, -9.73842 ay, 5.53371 az, 0.948944
GoogleYaw, -0.689067 GooglePitch, -0.975524 GoogleRoll, 1.42914
pack:0 ax, -9.73842 ay, 5.53371 az, 0.948944
GoogleYaw, -0.689067 GooglePitch, -0.975524 GoogleRoll, 1.42914
pack:0 ax, -9.73842 ay, 5.53371 az, 0.948944
GoogleYaw, -0.726882 GooglePitch, -1.06485 GoogleRoll, 1.37313
pack:0 ax, -8.96242 ay, 5.03145 az, 0.768036
GoogleYaw, -0.726882 GooglePitch, -1.06485 GoogleRoll, 1.37313
pack:0 ax, -8.96242 ay, 5.03145 az, 0.768036
GoogleYaw, -0.726882 GooglePitch, -1.06485 GoogleRoll, 1.37313
pack:0 ax, -8.96242 ay, 5.03145 az, 0.768036
GoogleYaw, -0.726882 GooglePitch, -1.06485 GoogleRoll, 1.37313
pack:0 ax, -8.96242 ay, 5.03145 az, 0.768036
GoogleYaw, -0.774175 GooglePitch, -1.15378 GoogleRoll, 1.31445
pack:0 ax, -8.71724 ay, 4.41017 az, 0.901337
GoogleYaw, -0.774175 GooglePitch, -1.15378 GoogleRoll, 1.31445
pack:0 ax, -8.71724 ay, 4.41017 az, 0.901337
GoogleYaw, -0.774175 GooglePitch, -1.15378 GoogleRoll, 1.31445
pack:0 ax, -8.71724 ay, 4.41017 az, 0.901337
GoogleYaw, -0.774175 GooglePitch, -1.15378 GoogleRoll, 1.31445
pack:0 ax, -8.71724 ay, 4.41017 az, 0.901337
GoogleYaw, -0.838635 GooglePitch, -1.24212 GoogleRoll, 1.24419
pack:0 ax, -7.05336 ay, 3.96504 az, 1.06082
GoogleYaw, -0.838635 GooglePitch, -1.24212 GoogleRoll, 1.24419
pack:0 ax, -7.05336 ay, 3.96504 az, 1.06082
GoogleYaw, -0.838635 GooglePitch, -1.24212 GoogleRoll, 1.24419
pack:0 ax, -7.05336 ay, 3.96504 az, 1.06082
GoogleYaw, -0.838635 GooglePitch, -1.24212 GoogleRoll, 1.24419
pack:0 ax, -7.05336 ay, 3.96504 az, 1.06082
GoogleYaw, -0.941392 GooglePitch, -1.3291 GoogleRoll, 1.13849
pack:0 ax, -4.08028 ay, 3.63417 az, 1.52975
GoogleYaw, -0.941392 GooglePitch, -1.3291 GoogleRoll, 1.13849
pack:0 ax, -4.08028 ay, 3.63417 az, 1.52975
GoogleYaw, -0.941392 GooglePitch, -1.3291 GoogleRoll, 1.13849
pack:0 ax, -4.08028 ay, 3.63417 az, 1.52975
GoogleYaw, -0.941392 GooglePitch, -1.3291 GoogleRoll, 1.13849
pack:0 ax, -4.08028 ay, 3.63417 az, 1.52975
GoogleYaw, -1.17599 GooglePitch, -1.41763 GoogleRoll, 0.90368
