GoogleYaw, -0.894657 GooglePitch, -0.0265429 GoogleRoll, 0.00273581
pack:0 ax, -0.0336456 ay, 0.29451 az, 9.74442
GoogleYaw, -0.894657 GooglePitch, -0.0265429 GoogleRoll, 0.00273581
pack:0 ax, -0.016983 ay, 0.254044 az, 9.70633
GoogleYaw, -0.894657 GooglePitch, -0.0265429 GoogleRoll, 0.00273581
pack:0 ax, -0.016983 ay, 0.254044 az, 9.70633
GoogleYaw, -0.894657 GooglePitch, -0.0265429 GoogleRoll, 0.00273581
pack:0 ax, -0.016983 ay, 0.254044 az, 9.70633
GoogleYaw, -0.894657 GooglePitch, -0.0265429 GoogleRoll, 0.00273581
pack:0 ax, -0.016983 ay, 0.254044 az, 9.70633
GoogleYaw, -0.894826 GooglePitch, -0.0266603 GoogleRoll, 0.00273653
pack:0 ax, -0.0598297 ay, 0.29213 az, 9.82059
GoogleYaw, -0.894826 GooglePitch, -0.0266603 GoogleRoll, 0.00273653
pack:0 ax, -0.0598297 ay, 0.29213 az, 9.82059
GoogleYaw, -0.894826 GooglePitch, -0.0266603 GoogleRoll, 0.00273653
pack:0 ax, -0.0598297 ay, 0.29213 az, 9.82059
GoogleYaw, -0.894826 GooglePitch, -0.0266603 GoogleRoll, 0.00273653
pack:0 ax, -0.0598297 ay, 0.29213 az, 9.82059
GoogleYaw, -0.894735 GooglePitch, -0.0266393 GoogleRoll, 0.00268207
pack:0 ax, -0.016983 ay, 0.287369 az, 9.69681
GoogleYaw, -0.894735 GooglePitch, -0.0266393 GoogleRoll, 0.00268207
pack:0 ax, -0.016983 ay, 0.287369 az, 9.69681
GoogleYaw, -0.895048 GooglePitch, -0.0267702 GoogleRoll, 0.00279495
pack:0 ax, -0.0526886 ay, 0.273087 az, 9.78012
GoogleYaw, -0.895139 GooglePitch, -0.0268704 GoogleRoll, 0.00274832
pack:0 ax, -0.0336456 ay, 0.242142 az, 9.76822
GoogleYaw, -0.895139 GooglePitch, -0.0268704 GoogleRoll, 0.00274832
pack:0 ax, -0.0336456 ay, 0.242142 az, 9.76822
GoogleYaw, -0.895246 GooglePitch, -0.0269008 GoogleRoll, 0.00280514
pack:0 ax, -0.0336456 ay, 0.242142 az, 9.76822
GoogleYaw, -0.895246 GooglePitch, -0.0269008 GoogleRoll, 0.00280514
pack:0 ax, -0.0336456 ay, 0.242142 az, 9.76822
GoogleYaw, -0.895246 GooglePitch, -0.0269008 GoogleRoll, 0.00280514
pack:0 ax, -0.0526886 ay, 0.273087 az, 9.89438
GoogleYaw, -0.895246 GooglePitch, -0.0269008 GoogleRoll, 0.00280514
pack:0 ax, -0.0526886 ay, 0.273087 az, 9.89438
GoogleYaw, -0.895246 GooglePitch, -0.0269008 GoogleRoll, 0.00280514
pack:0 ax, -0.0526886 ay, 0.273087 az, 9.89438
GoogleYaw, -0.895246 GooglePitch, -0.0269008 GoogleRoll, 0.00280514
pack:0 ax, -0.0526886 ay, 0.273087 az, 9.89438
GoogleYaw, -0.895108 GooglePitch, -0.0268144 GoogleRoll, 0.00279228
pack:0 ax, -0.0265045 ay, 0.251663 az, 9.72537
GoogleYaw, -0.895108 GooglePitch, -0.0268144 GoogleRoll, 0.00279228
pack:0 ax, -0.0265045 ay, 0.251663 az, 9.72537
GoogleYaw, -0.895108 GooglePitch, -0.0268144 GoogleRoll, 0.00279228
pack:0 ax, -0.0265045 ay, 0.251663 az, 9.72537
GoogleYaw, -0.895108 GooglePitch, -0.0268144 GoogleRoll, 0.00279228
pack:0 ax, -0.0265045 ay, 0.251663 az, 9.72537
GoogleYaw, -0.895183 GooglePitch, -0.0268167 GoogleRoll, 0.00285614
pack:0 ax, -0.0288849 ay, 0.258804 az, 9.65634
GoogleYaw, -0.895183 GooglePitch, -0.0268167 GoogleRoll, 0.00285614
pack:0 ax, -0.0288849 ay, 0.258804 az, 9.65634
GoogleYaw, -0.895077 GooglePitch, -0.0267477 GoogleRoll, 0.00284937
pack:0 ax, -0.016983 ay, 0.256424 az, 9.72537
GoogleYaw, -0.895022 GooglePitch, -0.0267239 GoogleRoll, 0.00283135
pack:0 ax, -0.036026 ay, 0.254044 az, 9.7587
GoogleYaw, -0.895022 GooglePitch, -0.0267239 GoogleRoll, 0.00283135
pack:0 ax, -0.036026 ay, 0.254044 az, 9.7587
GoogleYaw, -0.8949 GooglePitch, -0.0266978 GoogleRoll, 0.00275485
pack:0 ax, -0.036026 ay, 0.254044 az, 9.7587
GoogleYaw, -0.8949 GooglePitch, -0.0266978 GoogleRoll, 0.00275485
pack:0 ax, -0.036026 ay, 0.254044 az, 9.7587
GoogleYaw, -0.8949 GooglePitch, -0.0266978 GoogleRoll, 0.00275485
pack:0 ax, -0.0288849 ay, 0.284988 az, 9.7706
GoogleYaw, -0.8949 GooglePitch, -0.0266978 GoogleRoll, 0.00275485
pack:0 ax, -0.0288849 ay, 0.284988 az, 9.7706
GoogleYaw, -0.8949 GooglePitch, -0.0266978 GoogleRoll, 0.00275485
pack:0 ax, -0.0288849 ay, 0.284988 az, 9.7706
GoogleYaw, -0.8949 GooglePitch, -0.0266978 GoogleRoll, 0.00275485
pack:0 ax, -0.0288849 ay, 0.284988 az, 9.7706
GoogleYaw, -0.894844 GooglePitch, -0.0266703 GoogleRoll, 0.00274017
pack:0 ax, -0.0288849 ay, 0.268326 az, 9.70395
GoogleYaw, -0.894844 GooglePitch, -0.0266703 GoogleRoll, 0.00274017
pack:0 ax, -0.0288849 ay, 0.268326 az, 9.70395
GoogleYaw, -0.894844 GooglePitch, -0.0266703 GoogleRoll, 0.00274017
pack:0 ax, -0.0288849 ay, 0.268326 az, 9.70395
GoogleYaw, -0.894844 GooglePitch, -0.0266703 GoogleRoll, 0.00274017
pack:0 ax, -0.0288849 ay, 0.268326 az, 9.70395
GoogleYaw, -0.894931 GooglePitch, -0.0267489 GoogleRoll, 0.00271764
pack:0 ax, -0.0265045 ay, 0.270706 az, 9.7706
GoogleYaw, -0.894931 GooglePitch, -0.0267489 GoogleRoll, 0.00271764
pack:0 ax, -0.0265045 ay, 0.270706 az, 9.7706
GoogleYaw, -0.894946 GooglePitch, -0.0267623 GoogleRoll, 0.00271383
pack:0 ax, -0.0146027 ay, 0.261185 az, 9.75156
GoogleYaw, -0.894967 GooglePitch, -0.0267786 GoogleRoll, 0.00271206
pack:0 ax, -0.0407867 ay, 0.318314 az, 9.71109
GoogleYaw, -0.894967 GooglePitch, -0.0267786 GoogleRoll, 0.00271206
pack:0 ax, -0.0407867 ay, 0.318314 az, 9.71109
GoogleYaw, -0.894863 GooglePitch, -0.0267458 GoogleRoll, 0.00266055
pack:0 ax, -0.0407867 ay, 0.318314 az, 9.71109
GoogleYaw, -0.894863 GooglePitch, -0.0267458 GoogleRoll, 0.00266055
pack:0 ax, -0.0407867 ay, 0.318314 az, 9.71109
GoogleYaw, -0.894863 GooglePitch, -0.0267458 GoogleRoll, 0.00266055
pack:0 ax, -0.0217438 ay, 0.284988 az, 9.7468
GoogleYaw, -0.894863 GooglePitch, -0.0267458 GoogleRoll, 0.00266055
pack:0 ax, -0.0217438 ay, 0.284988 az, 9.7468
GoogleYaw, -0.894863 GooglePitch, -0.0267458 GoogleRoll, 0.00266055
pack:0 ax, -0.0217438 ay, 0.284988 az, 9.7468
GoogleYaw, -0.894863 GooglePitch, -0.0267458 GoogleRoll, 0.00266055
pack:0 ax, -0.0217438 ay, 0.284988 az, 9.7468
GoogleYaw, -0.895092 GooglePitch, -0.0268944 GoogleRoll, 0.00267553
pack:0 ax, -0.0455475 ay, 0.282608 az, 9.74442
GoogleYaw, -0.895092 GooglePitch, -0.0268944 GoogleRoll, 0.00267553
pack:0 ax, -0.0455475 ay, 0.282608 az, 9.74442
GoogleYaw, -0.895092 GooglePitch, -0.0268944 GoogleRoll, 0.00267553
pack:0 ax, -0.0455475 ay, 0.282608 az, 9.74442
GoogleYaw, -0.895092 GooglePitch, -0.0268944 GoogleRoll, 0.00267553
pack:0 ax, -0.0455475 ay, 0.282608 az, 9.74442
GoogleYaw, -0.895132 GooglePitch, -0.0269499 GoogleRoll, 0.0026408
pack:0 ax, -0.0788727 ay, 0.239761 az, 9.68491
GoogleYaw, -0.895132 GooglePitch, -0.0269499 GoogleRoll, 0.0026408
pack:0 ax, -0.0788727 ay, 0.239761 az, 9.68491
GoogleYaw, -0.895253 GooglePitch, -0.0270015 GoogleRoll, 0.00268339
pack:0 ax, -0.0265045 ay, 0.318314 az, 9.72299
GoogleYaw, -0.895279 GooglePitch, -0.0269119 GoogleRoll, 0.00282068
