GoogleYaw, -0.895649 GooglePitch, -0.0267356 GoogleRoll, 0.00337763
pack:0 ax, -0.0455475 ay, 0.261185 az, 9.72537
GoogleYaw, -0.895649 GooglePitch, -0.0267356 GoogleRoll, 0.00337763
pack:0 ax, -0.0455475 ay, 0.261185 az, 9.72537
GoogleYaw, -0.895649 GooglePitch, -0.0267356 GoogleRoll, 0.00337763
pack:0 ax, -0.0455475 ay, 0.261185 az, 9.72537
GoogleYaw, -0.895649 GooglePitch, -0.0267356 GoogleRoll, 0.00337763
pack:0 ax, -0.0455475 ay, 0.261185 az, 9.72537
GoogleYaw, -0.895464 GooglePitch, -0.0266632 GoogleRoll, 0.00330488
pack:0 ax, -0.0764923 ay, 0.29213 az, 9.7587
GoogleYaw, -0.895464 GooglePitch, -0.0266632 GoogleRoll, 0.00330488
pack:0 ax, -0.0764923 ay, 0.29213 az, 9.7587
GoogleYaw, -0.895544 GooglePitch, -0.0266834 GoogleRoll, 0.00335065
pack:0 ax, -0.0764923 ay, 0.29213 az, 9.7587
GoogleYaw, -0.895544 GooglePitch, -0.0266834 GoogleRoll, 0.00335065
pack:0 ax, -0.0764923 ay, 0.29213 az, 9.7587
GoogleYaw, -0.895544 GooglePitch, -0.0266834 GoogleRoll, 0.00335065
pack:0 ax, -0.036026 ay, 0.254044 az, 9.72299
GoogleYaw, -0.895882 GooglePitch, -0.0267949 GoogleRoll, 0.00351072
pack:0 ax, -0.0431671 ay, 0.223099 az, 9.78964
GoogleYaw, -0.895882 GooglePitch, -0.0267949 GoogleRoll, 0.00351072
pack:0 ax, -0.0431671 ay, 0.223099 az, 9.78964
GoogleYaw, -0.895873 GooglePitch, -0.0267762 GoogleRoll, 0.00352715
pack:0 ax, -0.0193634 ay, 0.268326 az, 9.66348
GoogleYaw, -0.895873 GooglePitch, -0.0267762 GoogleRoll, 0.00352715
pack:0 ax, -0.0193634 ay, 0.268326 az, 9.66348
GoogleYaw, -0.895873 GooglePitch, -0.0267762 GoogleRoll, 0.00352715
pack:0 ax, -0.0193634 ay, 0.268326 az, 9.66348
GoogleYaw, -0.895729 GooglePitch, -0.026636 GoogleRoll, 0.0035768
pack:0 ax, -0.0193634 ay, 0.268326 az, 9.66348
GoogleYaw, -0.895729 GooglePitch, -0.026636 GoogleRoll, 0.0035768
pack:0 ax, -0.0265045 ay, 0.261185 az, 9.71585
GoogleYaw, -0.895729 GooglePitch, -0.026636 GoogleRoll, 0.0035768
pack:0 ax, -0.0265045 ay, 0.261185 az, 9.71585
GoogleYaw, -0.895729 GooglePitch, -0.026636 GoogleRoll, 0.0035768
pack:0 ax, -0.0265045 ay, 0.261185 az, 9.71585
GoogleYaw, -0.895729 GooglePitch, -0.026636 GoogleRoll, 0.0035768
pack:0 ax, -0.0265045 ay, 0.261185 az, 9.71585
GoogleYaw, -0.895723 GooglePitch, -0.0266559 GoogleRoll, 0.00354613
pack:0 ax, -0.0407867 ay, 0.265945 az, 9.73251
GoogleYaw, -0.895723 GooglePitch, -0.0266559 GoogleRoll, 0.00354613
pack:0 ax, -0.0407867 ay, 0.265945 az, 9.73251
GoogleYaw, -0.895694 GooglePitch, -0.0266563 GoogleRoll, 0.00351974
pack:0 ax, -0.0407867 ay, 0.265945 az, 9.73251
GoogleYaw, -0.895694 GooglePitch, -0.0266563 GoogleRoll, 0.00351974
pack:0 ax, -0.0407867 ay, 0.265945 az, 9.73251
GoogleYaw, -0.895694 GooglePitch, -0.0266563 GoogleRoll, 0.00351974
pack:0 ax, 0.00205994 ay, 0.251663 az, 9.76108
GoogleYaw, -0.895694 GooglePitch, -0.0266563 GoogleRoll, 0.00351974
pack:0 ax, 0.00205994 ay, 0.251663 az, 9.76108
GoogleYaw, -0.895718 GooglePitch, -0.0266715 GoogleRoll, 0.00352144
pack:0 ax, -0.0598297 ay, 0.265945 az, 9.80392
GoogleYaw, -0.895504 GooglePitch, -0.0266349 GoogleRoll, 0.00337685
pack:0 ax, 0.00444031 ay, 0.261185 az, 9.72537
GoogleYaw, -0.895504 GooglePitch, -0.0266349 GoogleRoll, 0.00337685
pack:0 ax, 0.00444031 ay, 0.261185 az, 9.72537
GoogleYaw, -0.895504 GooglePitch, -0.0266349 GoogleRoll, 0.00337685
pack:0 ax, 0.00444031 ay, 0.261185 az, 9.72537
GoogleYaw, -0.89562 GooglePitch, -0.0266444 GoogleRoll, 0.00346813
pack:0 ax, 0.00444031 ay, 0.261185 az, 9.72537
GoogleYaw, -0.89562 GooglePitch, -0.0266444 GoogleRoll, 0.00346813
pack:0 ax, -0.00508118 ay, 0.258804 az, 9.73251
GoogleYaw, -0.89562 GooglePitch, -0.0266444 GoogleRoll, 0.00346813
pack:0 ax, -0.00508118 ay, 0.258804 az, 9.73251
GoogleYaw, -0.89562 GooglePitch, -0.0266444 GoogleRoll, 0.00346813
pack:0 ax, -0.00508118 ay, 0.258804 az, 9.73251
GoogleYaw, -0.89562 GooglePitch, -0.0266444 GoogleRoll, 0.00346813
pack:0 ax, -0.00508118 ay, 0.258804 az, 9.73251
GoogleYaw, -0.895489 GooglePitch, -0.0266549 GoogleRoll, 0.00333737
pack:0 ax, -0.0265045 ay, 0.265945 az, 9.75632
GoogleYaw, -0.895489 GooglePitch, -0.0266549 GoogleRoll, 0.00333737
pack:0 ax, -0.0265045 ay, 0.265945 az, 9.75632
GoogleYaw, -0.895374 GooglePitch, -0.0266561 GoogleRoll, 0.00323309
pack:0 ax, -0.0265045 ay, 0.265945 az, 9.75632
GoogleYaw, -0.895374 GooglePitch, -0.0266561 GoogleRoll, 0.00323309
pack:0 ax, -0.0265045 ay, 0.265945 az, 9.75632
GoogleYaw, -0.895374 GooglePitch, -0.0266561 GoogleRoll, 0.00323309
pack:0 ax, -0.0122223 ay, 0.270706 az, 9.74442
GoogleYaw, -0.895374 GooglePitch, -0.0266561 GoogleRoll, 0.00323309
pack:0 ax, -0.0122223 ay, 0.270706 az, 9.74442
GoogleYaw, -0.895385 GooglePitch, -0.0266693 GoogleRoll, 0.00322586
