acceleration:x,y,z,Orientation:yaw,pitch,roll
-7.35805, 7.05714, -0.750641, -0.352639, -0.786127, 1.69132
-7.29378, 7.04286, -0.667328, -0.352639, -0.786127, 1.69132
-7.29378, 7.04286, -0.667328, -0.352639, -0.786127, 1.69132
-7.29378, 7.04286, -0.667328, -0.352949, -0.784352, 1.68879
-7.29378, 7.04286, -0.667328, -0.352949, -0.784352, 1.68879
-7.07716, 7.09047, -0.624481, -0.352949, -0.784352, 1.68879
-7.07716, 7.09047, -0.624481, -0.352949, -0.784352, 1.68879
-7.07716, 7.09047, -0.624481, -0.352949, -0.784352, 1.68879
-7.07716, 7.09047, -0.624481, -0.351856, -0.783035, 1.68719
-6.87007, 6.99287, -0.783966, -0.351856, -0.783035, 1.68719
-6.87007, 6.99287, -0.783966, -0.351856, -0.783035, 1.68719
-6.87007, 6.99287, -0.783966, -0.351856, -0.783035, 1.68719
-6.87007, 6.99287, -0.783966, -0.350441, -0.782335, 1.68658
-7.07002, 6.99287, -1.00772, -0.350441, -0.782335, 1.68658
-7.07002, 6.99287, -1.00772, -0.349217, -0.78176, 1.68648
-7.07002, 6.99287, -1.00772, -0.349217, -0.78176, 1.68648
-7.06764, 7.0619, -0.769684, -0.349217, -0.78176, 1.68648
-7.06764, 7.0619, -0.769684, -0.348475, -0.780724, 1.6865
-7.00337, 7.01668, -0.700653, -0.348475, -0.780724, 1.6865
-7.00337, 7.01668, -0.700653, -0.347214, -0.780268, 1.68596
-6.83199, 7.05476, -0.579254, -0.347214, -0.780268, 1.68596
-6.83199, 7.05476, -0.579254, -0.345297, -0.779906, 1.68641
-6.92958, 7.14522, -0.962494, -0.345297, -0.779906, 1.68641
-6.92958, 7.14522, -0.962494, -0.345297, -0.779906, 1.68641
-6.92958, 7.14522, -0.962494, -0.345297, -0.779906, 1.68641
-6.92958, 7.14522, -0.962494, -0.342355, -0.779751, 1.68711
-7.36519, 7.50941, -1.03152, -0.342355, -0.779751, 1.68711
-7.36519, 7.50941, -1.03152, -0.342355, -0.779751, 1.68711
-7.36519, 7.50941, -1.03152, -0.342355, -0.779751, 1.68711
-7.36519, 7.50941, -1.03152, -0.340378, -0.779228, 1.68979
-8.64345, 8.08546, -0.495941, -0.340378, -0.779228, 1.68979
-8.64345, 8.08546, -0.495941, -0.340378, -0.779228, 1.68979
-8.64345, 8.08546, -0.495941, -0.339004, -0.77932, 1.69247
-9.42897, 8.51155, -0.493561, -0.339004, -0.77932, 1.69247
-9.42897, 8.51155, -0.493561, -0.339004, -0.77932, 1.69247
-9.42897, 8.51155, -0.493561, -0.333621, -0.780403, 1.69442
