pack:0 ax, -0.0431671 ay, 0.246902 az, 9.75156
GoogleYaw, -0.897353 GooglePitch, -0.0275692 GoogleRoll, 0.00383945
pack:0 ax, -0.0431671 ay, 0.246902 az, 9.75156
GoogleYaw, -0.897353 GooglePitch, -0.0275692 GoogleRoll, 0.00383945
pack:0 ax, -0.055069 ay, 0.284988 az, 9.74918
GoogleYaw, -0.897353 GooglePitch, -0.0275692 GoogleRoll, 0.00383945
pack:0 ax, -0.055069 ay, 0.284988 az, 9.74918
GoogleYaw, -0.89729 GooglePitch, -0.0274952 GoogleRoll, 0.00387804
pack:0 ax, -0.0407867 ay, 0.215958 az, 9.74203
GoogleYaw, -0.897457 GooglePitch, -0.0275436 GoogleRoll, 0.00396599
pack:0 ax, -0.0598297 ay, 0.301651 az, 9.76822
GoogleYaw, -0.897457 GooglePitch, -0.0275436 GoogleRoll, 0.00396599
pack:0 ax, -0.0598297 ay, 0.301651 az, 9.76822
GoogleYaw, -0.897457 GooglePitch, -0.0275436 GoogleRoll, 0.00396599
pack:0 ax, -0.0598297 ay, 0.301651 az, 9.76822
GoogleYaw, -0.897457 GooglePitch, -0.0275436 GoogleRoll, 0.00396599
pack:0 ax, -0.0598297 ay, 0.301651 az, 9.76822
GoogleYaw, -0.897218 GooglePitch, -0.0273545 GoogleRoll, 0.00399395
pack:0 ax, -0.0407867 ay, 0.263565 az, 9.76584
GoogleYaw, -0.897218 GooglePitch, -0.0273545 GoogleRoll, 0.00399395
pack:0 ax, -0.0407867 ay, 0.263565 az, 9.76584
GoogleYaw, -0.897218 GooglePitch, -0.0273545 GoogleRoll, 0.00399395
pack:0 ax, -0.0407867 ay, 0.263565 az, 9.76584
GoogleYaw, -0.897218 GooglePitch, -0.0273545 GoogleRoll, 0.00399395
pack:0 ax, -0.0407867 ay, 0.263565 az, 9.76584
GoogleYaw, -0.897441 GooglePitch, -0.0274636 GoogleRoll, 0.00405464
pack:0 ax, -0.0217438 ay, 0.277847 az, 9.76822
GoogleYaw, -0.897441 GooglePitch, -0.0274636 GoogleRoll, 0.00405464
pack:0 ax, -0.0217438 ay, 0.277847 az, 9.76822
GoogleYaw, -0.897441 GooglePitch, -0.0274636 GoogleRoll, 0.00405464
pack:0 ax, -0.0217438 ay, 0.277847 az, 9.76822
GoogleYaw, -0.897423 GooglePitch, -0.0274486 GoogleRoll, 0.00405687
pack:0 ax, -0.0217438 ay, 0.277847 az, 9.76822
GoogleYaw, -0.897423 GooglePitch, -0.0274486 GoogleRoll, 0.00405687
pack:0 ax, -0.0479279 ay, 0.277847 az, 9.77298
GoogleYaw, -0.897427 GooglePitch, -0.0274931 GoogleRoll, 0.00400368
pack:0 ax, -0.00270081 ay, 0.251663 az, 9.73727
GoogleYaw, -0.897427 GooglePitch, -0.0274931 GoogleRoll, 0.00400368
pack:0 ax, -0.00270081 ay, 0.251663 az, 9.73727
GoogleYaw, -0.897507 GooglePitch, -0.0275355 GoogleRoll, 0.00402164
pack:0 ax, -0.00270081 ay, 0.251663 az, 9.73727
GoogleYaw, -0.897507 GooglePitch, -0.0275355 GoogleRoll, 0.00402164
pack:0 ax, -0.0431671 ay, 0.289749 az, 9.7706
GoogleYaw, -0.897236 GooglePitch, -0.0274596 GoogleRoll, 0.00387498
pack:0 ax, -0.0193634 ay, 0.223099 az, 9.73013
GoogleYaw, -0.897236 GooglePitch, -0.0274596 GoogleRoll, 0.00387498
pack:0 ax, -0.0193634 ay, 0.223099 az, 9.73013
GoogleYaw, -0.897236 GooglePitch, -0.0274596 GoogleRoll, 0.00387498
pack:0 ax, -0.0193634 ay, 0.223099 az, 9.73013
GoogleYaw, -0.897236 GooglePitch, -0.0274596 GoogleRoll, 0.00387498
pack:0 ax, -0.0193634 ay, 0.223099 az, 9.73013
GoogleYaw, -0.897316 GooglePitch, -0.0275029 GoogleRoll, 0.00389127
pack:0 ax, -0.0503082 ay, 0.235001 az, 9.77298
GoogleYaw, -0.897316 GooglePitch, -0.0275029 GoogleRoll, 0.00389127
pack:0 ax, -0.0503082 ay, 0.235001 az, 9.77298
GoogleYaw, -0.897316 GooglePitch, -0.0275029 GoogleRoll, 0.00389127
pack:0 ax, -0.0503082 ay, 0.235001 az, 9.77298
GoogleYaw, -0.897065 GooglePitch, -0.0273622 GoogleRoll, 0.00384652
pack:0 ax, -0.0503082 ay, 0.235001 az, 9.77298
GoogleYaw, -0.897065 GooglePitch, -0.0273622 GoogleRoll, 0.00384652
pack:0 ax, -0.0193634 ay, 0.213577 az, 9.7944
GoogleYaw, -0.897065 GooglePitch, -0.0273622 GoogleRoll, 0.00384652
pack:0 ax, -0.0193634 ay, 0.213577 az, 9.7944
GoogleYaw, -0.897065 GooglePitch, -0.0273622 GoogleRoll, 0.00384652
pack:0 ax, -0.0193634 ay, 0.213577 az, 9.7944
GoogleYaw, -0.897065 GooglePitch, -0.0273622 GoogleRoll, 0.00384652
pack:0 ax, -0.0193634 ay, 0.213577 az, 9.7944
GoogleYaw, -0.896981 GooglePitch, -0.0272628 GoogleRoll, 0.00389841
pack:0 ax, 0.00920105 ay, 0.225479 az, 9.70633
GoogleYaw, -0.896981 GooglePitch, -0.0272628 GoogleRoll, 0.00389841
pack:0 ax, 0.00920105 ay, 0.225479 az, 9.70633
GoogleYaw, -0.896623 GooglePitch, -0.027071 GoogleRoll, 0.0038223
pack:0 ax, -0.0431671 ay, 0.23262 az, 9.74442
GoogleYaw, -0.896261 GooglePitch, -0.0269345 GoogleRoll, 0.00367233
pack:0 ax, -0.016983 ay, 0.268326 az, 9.78488
GoogleYaw, -0.896261 GooglePitch, -0.0269345 GoogleRoll, 0.00367233
pack:0 ax, -0.016983 ay, 0.268326 az, 9.78488
GoogleYaw, -0.896261 GooglePitch, -0.0269345 GoogleRoll, 0.00367233
pack:0 ax, -0.016983 ay, 0.268326 az, 9.78488
GoogleYaw, -0.896261 GooglePitch, -0.0269345 GoogleRoll, 0.00367233
pack:0 ax, -0.016983 ay, 0.268326 az, 9.78488
GoogleYaw, -0.896151 GooglePitch, -0.0268233 GoogleRoll, 0.00371597
pack:0 ax, -0.0122223 ay, 0.284988 az, 9.73251
GoogleYaw, -0.896151 GooglePitch, -0.0268233 GoogleRoll, 0.00371597
pack:0 ax, -0.0122223 ay, 0.284988 az, 9.73251
GoogleYaw, -0.896151 GooglePitch, -0.0268233 GoogleRoll, 0.00371597
pack:0 ax, -0.0122223 ay, 0.284988 az, 9.73251
GoogleYaw, -0.896061 GooglePitch, -0.0268134 GoogleRoll, 0.00364796
pack:0 ax, -0.0122223 ay, 0.284988 az, 9.73251
GoogleYaw, -0.896061 GooglePitch, -0.0268134 GoogleRoll, 0.00364796
pack:0 ax, -0.0265045 ay, 0.268326 az, 9.7587
GoogleYaw, -0.896061 GooglePitch, -0.0268134 GoogleRoll, 0.00364796
pack:0 ax, -0.0265045 ay, 0.268326 az, 9.7587
