GoogleYaw, -0.895975 GooglePitch, -0.0266634 GoogleRoll, 0.00376269
pack:0 ax, -0.0312653 ay, 0.270706 az, 9.7468
GoogleYaw, -0.895975 GooglePitch, -0.0266634 GoogleRoll, 0.00376269
pack:0 ax, -0.0312653 ay, 0.270706 az, 9.7468
GoogleYaw, -0.895975 GooglePitch, -0.0266634 GoogleRoll, 0.00376269
pack:0 ax, -0.0312653 ay, 0.270706 az, 9.7468
GoogleYaw, -0.895975 GooglePitch, -0.0266634 GoogleRoll, 0.00376269
pack:0 ax, -0.0312653 ay, 0.270706 az, 9.7468
GoogleYaw, -0.895935 GooglePitch, -0.0266347 GoogleRoll, 0.00376342
pack:0 ax, -0.0384064 ay, 0.280228 az, 9.72775
GoogleYaw, -0.895935 GooglePitch, -0.0266347 GoogleRoll, 0.00376342
pack:0 ax, -0.0384064 ay, 0.280228 az, 9.72775
GoogleYaw, -0.895935 GooglePitch, -0.0266347 GoogleRoll, 0.00376342
pack:0 ax, -0.0384064 ay, 0.280228 az, 9.72775
GoogleYaw, -0.895935 GooglePitch, -0.0266347 GoogleRoll, 0.00376342
pack:0 ax, -0.0384064 ay, 0.280228 az, 9.72775
GoogleYaw, -0.895947 GooglePitch, -0.02666 GoogleRoll, 0.00374169
pack:0 ax, -0.0526886 ay, 0.277847 az, 9.8063
GoogleYaw, -0.895947 GooglePitch, -0.02666 GoogleRoll, 0.00374169
pack:0 ax, -0.0526886 ay, 0.277847 az, 9.8063
GoogleYaw, -0.896072 GooglePitch, -0.026729 GoogleRoll, 0.00376614
pack:0 ax, -0.0265045 ay, 0.251663 az, 9.78726
GoogleYaw, -0.896191 GooglePitch, -0.0267804 GoogleRoll, 0.00380693
pack:0 ax, -0.0288849 ay, 0.29213 az, 9.73727
GoogleYaw, -0.896191 GooglePitch, -0.0267804 GoogleRoll, 0.00380693
pack:0 ax, -0.0288849 ay, 0.29213 az, 9.73727
GoogleYaw, -0.896084 GooglePitch, -0.0267528 GoogleRoll, 0.00374672
pack:0 ax, -0.0288849 ay, 0.29213 az, 9.73727
GoogleYaw, -0.896084 GooglePitch, -0.0267528 GoogleRoll, 0.00374672
pack:0 ax, -0.0288849 ay, 0.29213 az, 9.73727
GoogleYaw, -0.896084 GooglePitch, -0.0267528 GoogleRoll, 0.00374672
pack:0 ax, -0.016983 ay, 0.268326 az, 9.73965
GoogleYaw, -0.896084 GooglePitch, -0.0267528 GoogleRoll, 0.00374672
pack:0 ax, -0.016983 ay, 0.268326 az, 9.73965
GoogleYaw, -0.896084 GooglePitch, -0.0267528 GoogleRoll, 0.00374672
pack:0 ax, -0.016983 ay, 0.268326 az, 9.73965
GoogleYaw, -0.896084 GooglePitch, -0.0267528 GoogleRoll, 0.00374672
pack:0 ax, -0.016983 ay, 0.268326 az, 9.73965
GoogleYaw, -0.896203 GooglePitch, -0.0268584 GoogleRoll, 0.00371782
pack:0 ax, -0.0669708 ay, 0.258804 az, 9.80869
GoogleYaw, -0.896203 GooglePitch, -0.0268584 GoogleRoll, 0.00371782
pack:0 ax, -0.0669708 ay, 0.258804 az, 9.80869
GoogleYaw, -0.896203 GooglePitch, -0.0268584 GoogleRoll, 0.00371782
pack:0 ax, -0.0669708 ay, 0.258804 az, 9.80869
GoogleYaw, -0.896203 GooglePitch, -0.0268584 GoogleRoll, 0.00371782
pack:0 ax, -0.0669708 ay, 0.258804 az, 9.80869
GoogleYaw, -0.896153 GooglePitch, -0.0268688 GoogleRoll, 0.00365976
pack:0 ax, -0.0241241 ay, 0.261185 az, 9.81583
GoogleYaw, -0.896265 GooglePitch, -0.0268503 GoogleRoll, 0.00378358
pack:0 ax, -0.0288849 ay, 0.251663 az, 9.70157
GoogleYaw, -0.896265 GooglePitch, -0.0268503 GoogleRoll, 0.00378358
pack:0 ax, -0.0288849 ay, 0.251663 az, 9.70157
GoogleYaw, -0.896197 GooglePitch, -0.0268399 GoogleRoll, 0.00373622
pack:0 ax, -0.0526886 ay, 0.270706 az, 9.7587
GoogleYaw, -0.896197 GooglePitch, -0.0268399 GoogleRoll, 0.00373622
pack:0 ax, -0.0526886 ay, 0.270706 az, 9.7587
GoogleYaw, -0.896124 GooglePitch, -0.0268181 GoogleRoll, 0.00369821
pack:0 ax, -0.0526886 ay, 0.270706 az, 9.7587
GoogleYaw, -0.896124 GooglePitch, -0.0268181 GoogleRoll, 0.00369821
pack:0 ax, -0.0526886 ay, 0.270706 az, 9.7587
GoogleYaw, -0.896124 GooglePitch, -0.0268181 GoogleRoll, 0.00369821
pack:0 ax, -0.00984192 ay, 0.304031 az, 9.81345
GoogleYaw, -0.896124 GooglePitch, -0.0268181 GoogleRoll, 0.00369821
pack:0 ax, -0.00984192 ay, 0.304031 az, 9.81345
GoogleYaw, -0.896124 GooglePitch, -0.0268181 GoogleRoll, 0.00369821
pack:0 ax, -0.00984192 ay, 0.304031 az, 9.81345
GoogleYaw, -0.896124 GooglePitch, -0.0268181 GoogleRoll, 0.00369821
pack:0 ax, -0.00984192 ay, 0.304031 az, 9.81345
GoogleYaw, -0.896221 GooglePitch, -0.0268361 GoogleRoll, 0.00376223
pack:0 ax, -0.0407867 ay, 0.261185 az, 9.78488
GoogleYaw, -0.896221 GooglePitch, -0.0268361 GoogleRoll, 0.00376223
pack:0 ax, -0.0407867 ay, 0.261185 az, 9.78488
GoogleYaw, -0.896221 GooglePitch, -0.0268361 GoogleRoll, 0.00376223
pack:0 ax, -0.0407867 ay, 0.261185 az, 9.78488
GoogleYaw, -0.896221 GooglePitch, -0.0268361 GoogleRoll, 0.00376223
pack:0 ax, -0.0407867 ay, 0.261185 az, 9.78488
GoogleYaw, -0.896291 GooglePitch, -0.0269522 GoogleRoll, 0.0036771
pack:0 ax, -0.0241241 ay, 0.284988 az, 9.73489
GoogleYaw, -0.896273 GooglePitch, -0.0269206 GoogleRoll, 0.00370084
pack:0 ax, -0.0241241 ay, 0.284988 az, 9.73489
GoogleYaw, -0.896273 GooglePitch, -0.0269206 GoogleRoll, 0.00370084
pack:0 ax, -0.0384064 ay, 0.239761 az, 9.75394
